,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.094,-0.175,0.178,0.0,0.0,180505.0,137374.0,1.0
beta[API],0.032,0.084,-0.125,0.189,0.0,0.0,157603.0,144750.0,1.0
beta[PM],0.163,0.088,0.001,0.332,0.0,0.0,163858.0,147333.0,1.0
beta[R1],0.054,0.084,-0.105,0.21,0.0,0.0,156727.0,143490.0,1.0
beta[R4],0.177,0.08,0.027,0.328,0.0,0.0,166646.0,143476.0,1.0
beta[TAG],0.159,0.088,-0.007,0.323,0.0,0.0,159729.0,142435.0,1.0
sigma,0.772,0.071,0.644,0.906,0.0,0.0,163709.0,115326.0,1.0
