,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.036,-0.069,0.067,0.0,0.0,199587.0,134927.0,1.0
beta[BIOIDEAL],0.144,0.083,-0.011,0.301,0.0,0.0,164561.0,134179.0,1.0
beta[BWR-LS],0.157,0.083,0.001,0.315,0.0,0.0,166776.0,132466.0,1.0
beta[MXBONNEL],0.15,0.083,-0.003,0.311,0.0,0.0,169231.0,132853.0,1.0
beta[HYSPR],0.23,0.075,0.09,0.373,0.0,0.0,172270.0,132446.0,1.0
beta[SR-POLAR],0.243,0.076,0.101,0.387,0.0,0.0,151141.0,131307.0,1.0
beta[PR-BM],0.237,0.079,0.087,0.382,0.0,0.0,155550.0,131139.0,1.0
sigma,0.296,0.027,0.248,0.347,0.0,0.0,174865.0,114862.0,1.0
