,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.046,-0.086,0.087,0.0,0.0,201496.0,143287.0,1.0
beta[BIOIDEAL],0.091,0.083,-0.068,0.246,0.0,0.0,147471.0,137471.0,1.0
beta[BWR-LS],0.108,0.084,-0.05,0.267,0.0,0.0,151808.0,137840.0,1.0
beta[MXBONNEL],0.099,0.084,-0.061,0.255,0.0,0.0,149497.0,137912.0,1.0
beta[HYSPR],0.166,0.082,0.009,0.317,0.0,0.0,155434.0,140975.0,1.0
beta[SR-POLAR],0.261,0.079,0.115,0.41,0.0,0.0,142659.0,134995.0,1.0
beta[PR-BM],0.288,0.08,0.136,0.437,0.0,0.0,138387.0,137589.0,1.0
sigma,0.379,0.035,0.316,0.445,0.0,0.0,171659.0,119719.0,1.0
