,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.047,-0.089,0.09,0.0,0.0,198380.0,138819.0,1.0
beta[BIOIDEAL],0.116,0.084,-0.041,0.274,0.0,0.0,146510.0,138460.0,1.0
beta[BWR-LS],0.129,0.084,-0.029,0.287,0.0,0.0,154238.0,142550.0,1.0
beta[MXBONNEL],0.122,0.084,-0.037,0.278,0.0,0.0,153255.0,142484.0,1.0
beta[HYSPR],0.182,0.08,0.033,0.333,0.0,0.0,148107.0,138754.0,1.0
beta[SR-POLAR],0.248,0.079,0.099,0.396,0.0,0.0,137106.0,136501.0,1.0
beta[PR-BM],0.274,0.08,0.123,0.425,0.0,0.0,133160.0,135927.0,1.0
sigma,0.392,0.036,0.327,0.46,0.0,0.0,177676.0,121502.0,1.0
