,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.038,-0.072,0.07,0.0,0.0,189905.0,141701.0,1.0
beta[BIOIDEAL],0.193,0.079,0.045,0.342,0.0,0.0,167609.0,141106.0,1.0
beta[BWRS],0.269,0.086,0.106,0.431,0.0,0.0,157124.0,136211.0,1.0
beta[MXBONNEL],0.093,0.087,-0.07,0.257,0.0,0.0,159822.0,140676.0,1.0
beta[HYSPR],0.074,0.039,0.002,0.148,0.0,0.0,188194.0,142020.0,1.0
beta[BWR-LS],0.216,0.084,0.058,0.375,0.0,0.0,159618.0,138452.0,1.0
beta[NRTL],0.131,0.081,-0.023,0.282,0.0,0.0,168097.0,138883.0,1.0
sigma,0.311,0.029,0.258,0.365,0.0,0.0,169629.0,122913.0,1.0
