,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.031,-0.058,0.059,0.0,0.0,235066.0,135989.0,1.0
beta[BIOIDEAL],0.235,0.082,0.082,0.387,0.0,0.0,210701.0,139628.0,1.0
beta[BWRS],0.254,0.085,0.094,0.413,0.0,0.0,197068.0,140319.0,1.0
beta[MXBONNEL],0.101,0.087,-0.062,0.266,0.0,0.0,205208.0,142170.0,1.0
beta[HYSPR],0.043,0.037,-0.027,0.113,0.0,0.0,222952.0,140749.0,1.0
beta[BWR-LS],0.232,0.085,0.074,0.394,0.0,0.0,192062.0,138487.0,1.0
beta[NRTL],0.106,0.081,-0.046,0.259,0.0,0.0,205887.0,140410.0,1.0
sigma,0.259,0.024,0.216,0.304,0.0,0.0,191390.0,122977.0,1.0
