,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.072,-0.133,0.138,0.0,0.0,212339.0,138899.0,1.0
beta[API],0.078,0.082,-0.075,0.234,0.0,0.0,177251.0,142423.0,1.0
beta[PM],0.195,0.087,0.031,0.358,0.0,0.0,183032.0,135494.0,1.0
beta[R1],0.099,0.083,-0.059,0.255,0.0,0.0,180288.0,138622.0,1.0
beta[R4],0.212,0.073,0.072,0.347,0.0,0.0,189954.0,141685.0,1.0
beta[TAG],0.192,0.087,0.026,0.354,0.0,0.0,182218.0,137679.0,1.0
sigma,0.6,0.055,0.5,0.705,0.0,0.0,181699.0,115890.0,1.0
