,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.082,-0.156,0.153,0.0,0.0,176880.0,134458.0,1.0
beta[API],0.02,0.082,-0.136,0.173,0.0,0.0,163063.0,143449.0,1.0
beta[PM],0.201,0.086,0.037,0.362,0.0,0.0,158367.0,139258.0,1.0
beta[R1],0.072,0.083,-0.085,0.227,0.0,0.0,167941.0,141448.0,1.0
beta[R4],0.199,0.075,0.061,0.342,0.0,0.0,166890.0,140893.0,1.0
beta[TAG],0.199,0.087,0.033,0.36,0.0,0.0,157279.0,138336.0,1.0
sigma,0.679,0.063,0.566,0.8,0.0,0.0,163989.0,116529.0,1.0
