,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.0,0.031,-0.058,0.058,0.0,0.0,221213.0,135379.0,1.0
beta[BIOIDEAL],0.214,0.081,0.059,0.365,0.0,0.0,207381.0,140548.0,1.0
beta[BWRS],0.288,0.085,0.131,0.451,0.0,0.0,194072.0,141264.0,1.0
beta[MXBONNEL],0.09,0.087,-0.075,0.253,0.0,0.0,203082.0,141342.0,1.0
beta[HYSPR],0.043,0.036,-0.025,0.11,0.0,0.0,230684.0,143135.0,1.0
beta[BWR-LS],0.252,0.084,0.094,0.409,0.0,0.0,203213.0,139945.0,1.0
beta[NRTL],0.088,0.081,-0.065,0.24,0.0,0.0,202123.0,142383.0,1.0
sigma,0.254,0.024,0.211,0.299,0.0,0.0,189978.0,125550.0,1.0
