ID,Type,density,BIOIDEAL,BWRS,BWR-LS,HYSPR,MXBONNEL,NRTL,average MR,y_pred,y_std,Error
RP-3-58,RP,787.1,789.071,786.105737,778.74,759.942,787.587579,781.578029,780.5040575,788.2822394,0.702222367,0.15020193
RP-3-59,RP,788.2,790.218,787.195862,779.513,763.66,787.817832,781.768375,781.6955115,789.9601364,0.637657475,0.223310888
RP-3-60,RP,789.3,790.03,788.878422,780.948,761.625,786.547243,779.892323,781.3201647,789.9882994,0.645768095,0.087203773
RP-3-61,RP,794.2,794.995,793.194382,785.424,767.193,791.139709,784.593125,786.0898693,794.4737995,1.142888651,0.034474885
RP-3-62,RP,800.7,803.785,799.999531,793.475,761.171,800.690729,795.062958,792.3640363,799.9316864,2.627009787,0.095955245
RP-3-63,RP,789.6,789.701,789.415766,781.947,767.273,786.493238,779.470192,782.383366,788.8577781,0.704821941,0.09399973
RP-3-65,RP,793.7,792.802,790.925111,782.662,766.262,788.722835,782.401387,783.9625555,792.5086518,0.803976942,0.150100569
RP-3-66,RP,799.9,800.048,798.694549,791.779,772.872,797.073419,791.088628,791.9259327,800.0930581,2.152437918,0.024135276
RP-3-67,RP,804.5,802.144,803.482592,793.866,779.128,794.391559,788.816283,793.6380723,802.235598,2.644719888,0.281467003
RP-3-68,RP,805.2,807.091,805.535077,797.655,766.758,802.213267,796.387383,795.9399545,803.6872554,3.148067877,0.187871905
RP-3-69,RP,796.6,794.595,793.549245,785.767,772.936,790.346097,783.821692,786.835839,795.4476949,1.192894593,0.144652907
RP-3-70,RP,796.1,795.732,793.475521,786.103,771.721,792.120308,785.526992,787.4464702,794.5297901,1.314141504,0.19723777
RP-3-71,RP,792.9,792.213,789.196591,782.221,760.521,790.646065,785.238637,783.3393822,791.301127,1.031346361,0.201648756
RP-3-72,RP,797.4,795.632,794.730722,787.286,775.541,791.831609,785.490776,788.4186845,798.6416966,1.640822279,0.155718153
RP-3-73,RP,811.3,813.948,814.789741,809.63,768.851,812.092865,806.632869,804.3240792,815.0447444,5.680478455,0.461573322
RP-3-74,RP,795.2,794.256,789.610395,780.189,766.594,789.655534,784.93291,784.2063065,792.767752,0.97777691,0.305866196
RP-3-75,RP,803.7,804.947,805.615428,800.07,745.194,805.711813,799.79495,793.5555318,803.1854079,4.139206578,0.06402788
RP-3-76,RP,802.9,803.34,803.166006,796.738,781.841,799.689931,792.328634,796.1839285,804.6159099,3.162628383,0.213714023
RP-3-77,RP,817.3,819.754,822.792539,818.721,803.619,817.387569,809.426893,815.2835002,829.876806,7.326694844,1.538823685
RP-3-78,RP,772.6,790.653,780.567854,764.17,764.194,778.467501,771.935048,774.9979005,784.7318113,1.583290542,1.570257743
RP-3-79,RP,799.8,802.201,801.659588,795.684,747.137,801.015386,793.219152,790.1526877,798.0755784,3.24651898,0.2156066
RP-3-80,RP,792,796.547,793.966711,785.745,751.877,792.568394,783.677348,784.0635755,792.073358,1.631364548,0.00926237
RP-3-81,RP,782.8,787.488,782.918704,776.511,770.249,785.042289,778.38251,780.0985838,788.8346722,0.783977632,0.77090856
RP-3-82,RP,782.8,787.686,782.065242,775.604,771.546,785.404313,778.899299,780.200809,788.9698922,0.853087204,0.788182451
RP-3-83,RP,782.6,786.531,782.195792,775.816,770.903,784.099776,777.611472,779.5261733,788.3427513,0.877920546,0.733804155
RP-3-84,RP,777,782.878,780.997097,774.675,761.17,783.583459,777.299798,776.7672257,782.1208969,1.479062494,0.659060095
RP-3-85,RP,785.4,791.199,791.967882,786.108,764.216,791.647916,784.354411,784.9155348,793.7928955,1.182152501,1.068614147
RP-3-86,RP,780.4,790.16,783.237086,770.638,758.224,781.591553,774.483561,776.3890333,784.1481018,1.256789574,0.480279573
RP-3-87,RP,792.3,791.97,790.748456,782.68,767.688,788.454674,782.2547,783.9659717,792.5628916,0.783263609,0.033180809
RP-3-88,RP,794.2,793.775,793.021513,784.792,768.958,789.641868,783.560279,785.6247767,792.7174849,1.001509368,0.186667727
RP-3-89,RP,794.4,793.414,792.924769,784.483,771.405,789.084304,783.091728,785.7338002,794.4455065,1.025832998,0.005728406
RP-3-90,RP,794.2,793.909,793.289393,784.83,767.096,789.769238,783.827497,785.4535213,792.6321337,1.013188948,0.197414544
RP-3-91,RP,795.1,794.525,793.830039,784.899,770.636,789.645405,784.000504,786.2559913,794.9621871,1.117726189,0.017332772
RP-3-92,RP,790.2,794.821,791.380005,786.787,767.085,794.216205,788.043201,787.0554018,795.5789434,1.571090275,0.680706576
RP-3-93,RP,790.2,794.716,791.230215,786.271,766.508,794.076502,788.147731,786.824908,795.2664375,1.543243226,0.641158881
Y-RP3-01,Y-RP3,780.5,789.945,782.637287,770.475,760.378,781.417841,773.565257,776.4030642,785.4495033,1.134699925,0.634145206
Y-RP3-02,Y-RP3,793.7,793.735,792.033476,784.888,766.398,790.708895,784.21656,785.3299885,792.285798,1.004030211,0.178178409
Y-RP3-03,Y-RP3,796,795.947,795.179614,787.756,771.842,791.606557,784.54872,787.8133152,795.118126,1.405316355,0.110788187
Y-RP3-04,Y-RP3,794.4,794.109,792.983629,785.45,769.214,790.233672,783.445597,785.905983,794.3772535,1.073507561,0.002863356
Y-RP3-05,Y-RP3,796.1,795.798,795.528778,788.159,773.435,791.538126,784.589162,788.1746777,798.462214,1.617608706,0.296723278
Y-RP3-06,Y-RP3,780.5,790.755,783.116908,770.971,760.255,781.892553,774.129675,776.853356,785.869199,1.075683196,0.687917869
