ID,Type,flash_point,API,PM,TAG,R1,R4,MR_avg,y_pred,std,Error
RP-3-79,RP,48,49.4829375,46.0746999,50.468157,48.0329948,47.9023185,48.39222154,47.2895,0.277349,1.480208333
RP-3-80,RP,49,51.6126141,48.1145587,52.549102,49.4824183,49.022713,50.15628122,47.0476,0.416926,3.984489796
RP-3-81,RP,42,49.3423525,39.5679245,43.99682,46.3661999,42.9138252,44.43742442,42.7022,0.541872,1.671904762
RP-3-82,RP,42,48.9586377,38.9954494,43.4213967,46.0781044,42.4813475,43.98698714,40.948,0.46013,2.504761905
RP-3-83,RP,42,49.2681151,39.4301798,43.856767,46.3177126,42.8135374,44.33726238,41.5932,0.415939,0.968571429
RP-3-84,RP,48,48.5815719,43.117029,47.4322916,46.2495451,45.7642663,46.22894078,45.8716,0.535048,4.434166667
RP-3-85,RP,45,49.2163896,43.3533302,47.7125682,47.4676385,48.2953026,47.20904582,46.4002,0.424506,3.111555556
RP-3-86,RP,51,55.2806326,51.7169936,56.2347507,52.8156477,51.0535196,53.42030884,47.2892,0.355484,7.276078431
RP-3-87,RP,46,51.3801487,45.8343648,50.2734219,49.4252848,47.5864512,48.89993428,47.4241,0.505975,3.095869565
RP-3-88,RP,45,51.9037868,46.7767119,51.2366313,50.1439478,48.6034271,49.73290098,47.4886,0.532436,5.530222222
RP-3-89,RP,44,51.8989889,47.590201,52.0337668,50.2045848,49.2185724,50.18922278,47.234,0.478935,7.35
RP-3-90,RP,45,51.893135,48.4169501,52.8578521,50.3393858,49.7562023,50.65270506,49.5582,0.52513,10.12933333
RP-3-91,RP,42,53.0249612,49.8585609,54.3127118,50.7215909,51.1604566,51.81565628,52.937,0.54475,26.04047619
RP-3-92,RP,34,44.6143073,34.3263921,38.7484502,40.7781845,29.1824959,37.529966,52.5982,1.69915,54.70058824
RP-3-93,RP,34,45.2991359,36.8133673,41.2056179,42.318402,38.5787996,40.84306454,39.6354,0.545572,16.57470588
Y-RP3-01,Y-RP3,51,53.4835869,47.7945861,52.3777908,51.5992876,48.1300597,50.67706222,50.2678,0.291857,1.435686275
Y-RP3-02,Y-RP3,46,50.573421,41.8527662,46.3526319,48.7821207,43.9130324,46.29479444,44.231,0.288581,3.845652174
Y-RP3-03,Y-RP3,45,51.7235477,42.0565135,46.6003678,49.7626552,44.4461055,46.91783794,43.385,0.255068,3.588888889
Y-RP3-04,Y-RP3,45,51.5921963,41.9961555,46.5226294,49.5745219,44.4898778,46.83507618,44.4071,0.276637,1.317555556
Y-RP3-05,Y-RP3,45,51.7279601,42.0453182,46.5944424,49.7681083,44.4200031,46.91116642,44.439,0.26902,1.246666667
Y-RP3-06,Y-RP3,52,54.0222111,48.1757,52.7640974,52.0338274,48.3520739,51.06958196,50.6844,0.302071,2.53
