ID,Type,density,BIOIDEAL,BWRS,BWR-LS,HYSPR,MXBONNEL,NRTL,MR_avg,y_pred,std,Error
RP-3-58,RP,787.1,789.071,786.105737,778.74,759.942,787.587579,781.578029,780.5040575,785.525,1.35881,0.200101639
RP-3-59,RP,788.2,790.218,787.195862,779.513,763.66,787.817832,781.768375,781.6955115,788.035,1.44268,0.020933773
RP-3-60,RP,789.3,790.03,788.878422,780.948,761.625,786.547243,779.892323,781.3201647,789.622,1.38404,0.040795642
RP-3-61,RP,794.2,794.995,793.194382,785.424,767.193,791.139709,784.593125,786.0898693,793.629,0.623134,0.071896248
RP-3-62,RP,800.7,803.785,799.999531,793.475,761.171,800.690729,795.062958,792.3640363,801.045,1.13058,0.043087299
RP-3-63,RP,789.6,789.701,789.415766,781.947,767.273,786.493238,779.470192,782.383366,790.671,0.813484,0.135638298
RP-3-65,RP,793.7,792.802,790.925111,782.662,766.262,788.722835,782.401387,783.9625555,793.283,0.591166,0.052538743
RP-3-66,RP,799.9,800.048,798.694549,791.779,772.872,797.073419,791.088628,791.9259327,797.896,0.977911,0.250531316
RP-3-67,RP,804.5,802.144,803.482592,793.866,779.128,794.391559,788.816283,793.6380723,815.379,1.54767,1.35226849
RP-3-68,RP,805.2,807.091,805.535077,797.655,766.758,802.213267,796.387383,795.9399545,808.317,1.08284,0.387108793
RP-3-69,RP,796.6,794.595,793.549245,785.767,772.936,790.346097,783.821692,786.835839,796.323,0.746847,0.034772784
RP-3-70,RP,796.1,795.732,793.475521,786.103,771.721,792.120308,785.526992,787.4464702,794.593,0.782429,0.189297827
RP-3-71,RP,792.9,792.213,789.196591,782.221,760.521,790.646065,785.238637,783.3393822,787.343,1.49541,0.700844999
RP-3-72,RP,797.4,795.632,794.730722,787.286,775.541,791.831609,785.490776,788.4186845,798.018,1.65614,0.077501881
RP-3-73,RP,811.3,813.948,814.789741,809.63,768.851,812.092865,806.632869,804.3240792,811.401,1.89699,0.012449156
