ID,Type,viscosity,BIOIDEAL,BWR-LS,HYSPR,MXBONNEL,PR-BM,SR-POLAR,average MR,y_pred,y_std,Error
BF-01,BF,4.974,5.2315,5.24924,4.62187,5.30244,3.6101754,3.79238748,4.634602147,4.45962938,0.13895392,10.34118657
FT-SPK-01,FT-SPK,4.909,4.16878,4.29526,5.11073,4.22975,4.76648033,5.21613303,4.631188893,4.6885431,0.228471241,4.490871868
FT-SPK-02,FT-SPK,4.481,4.03924,4.15778,4.65571,4.09384,4.56584758,4.94212485,4.409090405,4.22282963,0.143166323,5.761445436
FT-SPK-03,FT-SPK,3.899,3.46346,3.50433,3.8025,3.49646,3.70428548,3.95641694,3.654575403,3.43204531,0.213370152,11.97626802
RP-3-01,RP,4.252,4.8454,4.87471,4.12866,4.90234,3.52496756,3.67808832,4.325694313,4.05407948,0.06581903,4.654762935
RP-3-02,RP,4.63,7.72338,7.63851,4.00938,7.7817,2.85022189,2.99723548,5.500071228,5.21031703,0.533416625,12.53384514
RP-3-03,RP,4.219,6.21386,6.18496,4.01298,6.27305,3.0860979,3.20270014,4.82894134,4.66809733,0.29424758,10.64463925
RP-3-04,RP,3.72,4.10186,4.1363,3.77343,4.14603,3.40541381,3.52504779,3.8480136,3.51917191,0.108829438,5.39860457
RP-3-05,RP,3.349,3.92659,3.95076,3.30621,3.9554,2.88614547,3.05030002,3.512567582,3.32670228,0.114218255,0.665802329
RP-3-06,RP,3.425,4.14406,4.17137,3.42433,4.18018,3.04879433,3.17359592,3.690388375,3.68514866,0.119046692,7.595581314
RP-3-07,RP,3.68,4.34859,4.36957,3.73945,4.39335,3.23974203,3.36704658,3.909624768,3.63124273,0.057317565,1.324925815
RP-3-08,RP,3.92,4.80527,4.82333,4.03381,4.86179,3.19424737,3.33499033,4.17557295,4.13877551,0.092595651,5.581007908
RP-3-09,RP,4.019,4.56594,4.60791,4.12745,4.61829,3.57986327,3.72527014,4.204120568,3.88063784,0.03492319,3.442701169
RP-3-10,RP,4.037,5.38208,5.40407,4.0965,5.44706,3.19861506,3.30995822,4.473047213,4.10585657,0.150551646,1.705637107
RP-3-11,RP,4.3,5.35471,5.39604,4.36541,5.41617,3.6138187,3.7945723,4.656786833,4.14937668,0.091443177,3.502867907
RP-3-12,RP,4.393,5.40631,5.43213,4.35649,5.47021,3.38004677,3.53868138,4.597311358,4.5204715,0.168994069,2.90169588
RP-3-13,RP,3.487,4.49934,4.49651,3.47354,4.53098,2.90216301,3.07124952,3.828963755,3.51138304,0.086727358,0.699255521
RP-3-14,RP,3.082,5.25874,5.28774,4.62878,5.32643,3.66036886,3.82473699,4.664465975,4.49606453,0.145082025,45.88139293
RP-3-15,RP,3.254,3.85965,3.89053,3.31036,3.89352,2.95323492,3.08492081,3.498702622,3.01321338,0.193058115,7.399711739
RP-3-16,RP,4.538,5.21517,5.23526,4.45826,5.28869,3.56588236,3.73289871,4.582693512,4.11013818,0.080035577,9.428422653
RP-3-17,RP,3.054,3.89438,3.90617,3.08606,3.91567,2.71237135,2.86677855,3.396904983,3.21535887,0.135911094,5.28352554
RP-3-18,RP,4.275,4.8698,4.9265,4.41071,4.93084,3.77137715,3.94237459,4.475266957,4.0838619,0.059235179,4.471066667
RP-3-19,RP,3.351,4.12474,4.16465,3.2217,4.15718,2.94469046,3.13452347,3.624580655,3.61436073,0.137107095,7.859168308
RP-3-20,RP,3.606,4.07706,4.11844,3.85207,4.12073,3.37069462,3.5009845,3.83999652,3.62759269,0.064304444,0.598798946
RP-3-21,RP,4.444,5.49448,5.51613,4.43303,5.56134,3.38925353,3.55218035,4.657735647,4.57668595,0.183403429,2.985732448
RP-3-22,RP,3.614,4.30874,4.32989,3.68004,4.3486,3.16778422,3.30998007,3.857505715,3.58771472,0.064832977,0.727318207
RP-3-23,RP,3.756,4.43392,4.46463,3.95919,4.48194,3.42654458,3.55956065,4.054297538,3.75069972,0.06163916,0.141115016
RP-3-24,RP,3.426,4.03198,4.06739,3.57671,4.06915,3.19192794,3.34439844,3.71359273,3.72426531,0.109851772,8.705934326
RP-3-25,RP,3.095,3.96747,3.98693,2.95552,3.99159,2.70516775,2.82760808,3.405714305,2.80004185,0.231660009,9.530150242
RP-3-26,RP,3.521,4.64464,4.65735,3.65904,4.68627,3.01811471,3.15503531,3.970075003,3.52569642,0.108994678,0.13338313
