ID,Type,viscosity,BIOIDEAL,BWR-LS,HYSPR,MXBONNEL,PR-BM,SR-POLAR,MR_avg,y_pred,std,Error
RP-3-51,RP,3.312,4.24237,4.26698,3.36788,4.27652,2.93847353,3.06006632,3.692048308,3.36990721,0.03690907,1.748406099
RP-3-52,RP,3.544,4.39674,4.43365,3.5873,4.43485,3.138831,3.26355124,3.875820373,3.60120952,0.05808954,1.614264108
RP-3-53,RP,3.822,4.29433,4.34401,4.05077,4.34427,3.60055096,3.76291567,4.066141105,3.98610991,0.05067753,4.293822868
RP-3-54,RP,3.023,3.46254,3.48423,3.24875,3.48736,2.93225201,3.05383162,3.278160605,3.28739827,0.0565595,8.746221303
RP-3-55,RP,3.456,4.18303,4.21358,3.55515,4.22025,3.1058719,3.22072562,3.74976792,3.55593834,0.06443266,2.891734375
RP-3-56,RP,3.082,3.78225,3.79948,3.1064,3.80602,2.74841725,2.93321474,3.362630332,3.11462983,0.0600486,1.058722583
RP-3-57,RP,3.833,4.5985,4.62527,4.01096,4.64926,3.36298005,3.47635611,4.12055436,3.80038828,0.04026409,0.850814506
RP-3-58,RP,3.265,3.86448,3.88922,3.4483,3.89616,3.08814106,3.20492108,3.56520369,3.39247021,0.03528469,3.904141194
RP-3-59,RP,3.509,4.1845,4.21324,3.6114,4.22411,3.21887703,3.3436428,3.799294972,3.55089985,0.02699157,1.194068111
RP-3-60,RP,3.64,4.25348,4.27392,3.81657,4.29964,3.32642021,3.44313053,3.902193457,3.73481657,0.03174421,2.604850824
RP-3-61,RP,3.888,4.66979,4.6939,4.03399,4.72221,3.40988758,3.52609434,4.175978653,3.92624919,0.02981441,0.983775463
RP-3-62,RP,3.855,4.92351,4.95176,3.89507,4.97308,3.21554485,3.34077099,4.21662264,3.87284386,0.03306506,0.462875746
RP-3-63,RP,3.557,4.20358,4.21652,3.74012,4.24732,3.23213794,3.34047631,3.830025708,3.69762981,0.04643522,3.953607253
RP-3-64,RP,4.027,4.72502,4.75352,4.0635,4.7794,3.40492233,3.53816311,4.21075424,3.92724084,0.04992004,2.477257512
RP-3-65,RP,3.916,4.56615,4.59352,4.09252,4.61912,3.46489274,3.59475098,4.155158953,3.92340163,0.03245476,0.189009959
RP-3-66,RP,3.868,4.99444,5.01081,3.95062,5.04441,3.24958367,3.38692258,4.272797708,3.91002126,0.03022109,1.08638211
RP-3-67,RP,5.162,6.03748,6.05742,5.27769,6.13592,4.0474194,4.23066656,5.297765993,5.6066919,0.20117069,8.614721038
RP-3-68,RP,4.333,5.72825,5.75364,4.70171,5.79926,3.62220924,3.78390867,4.898162985,4.35160683,0.05117476,0.429421417
RP-3-69,RP,3.902,4.5893,4.60901,4.04913,4.64329,3.41188021,3.52604768,4.138109648,3.85706831,0.04406946,1.1515041
RP-3-70,RP,3.736,4.5221,4.54606,3.87144,4.57148,3.31183224,3.41967458,4.040431137,3.72742916,0.03202186,0.229412206
RP-3-71,RP,3.4,4.13555,4.1595,3.51415,4.16971,3.0692335,3.20072955,3.708145508,3.4518449,0.03137519,1.52485
RP-3-72,RP,3.851,4.75077,4.76782,4.00831,4.80374,3.34779531,3.47036049,4.191465967,3.91714206,0.03006441,1.717529473
RP-3-73,RP,3.873,5.64538,5.63235,4.03267,5.69205,3.03227113,3.18999826,4.537453232,4.00302076,0.07569682,3.357107152
RP-3-74,RP,4.169,4.8256,4.8785,4.36027,4.88539,3.73611218,3.89071394,4.42943102,4.19741495,0.06399024,0.681577117
RP-3-75,RP,3.16,4.07022,4.06539,3.42405,4.09115,2.85265873,2.97525327,3.579787,3.24783799,0.03920826,2.779683228
RP-3-76,RP,4.244,5.63137,5.63647,4.08747,5.69151,3.28996563,3.41986627,4.62610865,4.18070039,0.0725617,1.491508247
RP-3-77,RP,4.373,6.74313,6.69821,4.00525,6.80116,3.02523015,3.1396659,5.068774342,4.37900162,0.12149137,0.137242625
RP-3-78,RP,6.405,5.18914,5.33426,5.71269,5.30731,5.39740557,5.52849933,5.411550817,5.18236349,0.183883,19.08878236
RP-3-79,RP,3.374,4.1028,4.10697,3.56921,4.13388,3.01412827,3.10625985,3.67220802,3.47964958,0.04334939,3.131285714
RP-3-80,RP,3.785,4.35722,4.38659,4.07601,4.40675,3.51319127,3.5879131,4.054612395,3.86723556,0.04007779,2.172670013
RP-3-81,RP,3.489,4.38259,4.41391,3.34708,4.42299,2.98880611,3.09843073,3.775634473,3.42120497,0.04380029,1.943107767
RP-3-82,RP,3.474,4.31374,4.35087,3.31412,4.35262,2.97235941,3.07605117,3.729960097,3.40679893,0.03592431,1.934400403
RP-3-83,RP,3.579,4.34517,4.37484,3.33743,4.38514,2.97744212,3.08853189,3.751425668,3.38109566,0.07841714,5.529598771
RP-3-84,RP,3.129,3.79504,3.80905,2.93526,3.81496,2.75052108,2.89282982,3.332943483,3.02464868,0.11575011,3.334973474
RP-3-85,RP,3.257,4.49251,4.49011,3.31631,4.51775,2.77393892,2.92307106,3.752281663,3.25314564,0.05548701,0.118340804
RP-3-86,RP,4.896,4.8455,4.9352,5.09624,4.93157,4.47290945,4.58579438,4.811202305,4.56896258,0.10430872,6.679685866
RP-3-87,RP,3.688,4.54121,4.5637,3.94552,4.59076,3.38716317,3.52181426,4.091694572,3.81061457,0.03364433,3.324690076
RP-3-88,RP,3.735,4.75399,4.77523,4.1179,4.80957,3.48547249,3.62487789,4.261173397,3.98926859,0.04683814,6.80772664
RP-3-89,RP,3.923,4.75686,4.77792,4.16348,4.81386,3.53613925,3.67659947,4.287476453,3.9817453,0.03377492,1.497458578
RP-3-90,RP,3.717,4.79908,4.82107,4.1801,4.85544,3.53625184,3.68305492,4.31249946,4.06548242,0.04064186,9.37536777
RP-3-91,RP,3.797,4.88527,4.91111,4.34431,4.94754,3.66850498,3.8235737,4.430051447,4.16931687,0.04429018,9.805553595
RP-3-92,RP,2.914,3.67859,3.69027,3.04844,3.70266,2.59610785,2.69548509,3.235258823,2.98337328,0.12163882,2.380689087
RP-3-93,RP,2.9,3.74822,3.76223,3.08896,3.77332,2.65085143,2.75631174,3.296648862,3.03837471,0.11551175,4.771541724
Y-RP3-01,Y-RP3,5.17,4.69461,4.7814,5.00589,4.77748,4.37158375,4.45682998,4.681298955,4.37445325,0.10414778,15.38775145
Y-RP3-02,Y-RP3,3.536,4.40391,4.42274,3.79679,4.4484,3.21590081,3.33386396,3.936934128,3.71414395,0.04360368,5.038007636
Y-RP3-03,Y-RP3,3.981,4.7403,4.75637,4.07495,4.79624,3.38178057,3.49552028,4.207526808,3.94152424,0.02822735,0.99160412
Y-RP3-04,Y-RP3,3.692,4.57006,4.58859,3.98275,4.62146,3.34655224,3.46147539,4.095147938,3.77096957,0.03599056,2.138937432
Y-RP3-05,Y-RP3,3.922,4.76783,4.7805,4.08898,4.82357,3.3818931,3.49676368,4.22325613,3.94093462,0.050187,0.482779704
Y-RP3-06,Y-RP3,4.941,4.77205,4.86209,5.06033,4.85827,4.39021858,4.48336345,4.737720338,5.0488657,0.05056019,2.183074276
