,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
BIOIDEAL,0.07882985160182998,0.10465932999897261,0.09766258875557794,0.08171296586280404,0.08365372396842281,0.0852995675822399,0.0956304948411378,0.09494663922834796,0.11424904550774467,0.1080815133567336,0.09883466351913202,0.10591252853439374,0.08392069630882704,0.10106081731863799,0.0936408616176505,0.0819782131975814,0.10643030895210799,0.10939911668615776,0.09272468555693149,0.08740012818105629,0.09621380242699545,0.10274453311135195,0.07643154656404598,0.10330021226689023,0.09085015207711683,0.08777335465526563,0.09972993740653502,0.10241807041974997,0.10191582823813146,0.07467605742653287,0.08414764033702282,0.08483855674807406,0.09898434084292644,0.0924075246383234,0.09476910900999179,0.10203120157988053,0.1105509102258936,0.11088896842089065,0.10467975320781829,0.10202814981794135,0.10317519230540538,0.11486007003469458,0.1020846586884635,0.09354511472048871,0.10768838858016665,0.0893632995778597,0.10960693758930647,0.09506346634462026,0.08623197164422945,0.10027269801433404,0.09858097533436881,0.08439247943952387,0.08351793028522565,0.09054466419918078,0.09347006316530036,0.11384067702665175,0.0889568910710913,0.09162379127964008,0.09876793801293254,0.07895371717064628,0.0936807364024156,0.07966909642822387,0.11045503032397158,0.10486607236616884,0.11770316748514625,0.09413374600492837,0.11336458386950554,0.10501347093447984,0.0960285983702024,0.0965866946554945,0.09238815373133814,0.1178470422683315,0.0777470978579181,0.0931250701365023,0.09670170129895189,0.10113720558759191,0.10041798923888971,0.08490363587911776,0.10251651650817055,0.08806897927674734,0.10141012463654205,0.09861738445267361,0.10384506164988742,0.11943820956106181,0.10796762063179326,0.10412922902787353,0.08064864986340356,0.09409346132645201,0.10134474536637116,0.08836267997615647,0.08390772091142436,0.0967303007856507,0.09833665568313428,0.0994973626281291,0.09095279472883737,0.09577308910981579,0.08680599555246081,0.1103931793439432,0.1070694380968588,0.10811176638803206,0.10190568501068879,0.0864819135472527,0.1029860802006259,0.10753711668259952,0.07413861343470564,0.0807661237945456,0.11073345823725449,0.08111769839029982,0.12405005618597538,0.06364491626481364,0.09878019107950935,0.10394432454878234,0.09263006374284515,0.07819957909677701,0.07821157569921817,0.11997652442893374,0.07946704194006633,0.08883593892903975,0.10800477406350195,0.08560612972650139,0.0964099062172899,0.06055340602897646,0.1012078164741168,0.10189750885054893,0.08436070592889655,0.11008237839834169,0.07847194399782059,0.09252187311153408,0.10446518231349794,0.08923827831402653,0.10187764912406867,0.08304593675669249,0.11668144296780887,0.10915298178489756,0.08422152115101138,0.10832783366225836,0.09735226719452213,0.09240482629175484,0.0806967127741297,0.08746450582493392,0.08709614382745605,0.0755250854142913,0.13575451948673903,0.09179030752320794,0.1011762655004451,0.0856439303201421,0.10172290181940204,0.09013249748828205,0.08677339562129333,0.10720115530436024,0.09330990426049,0.09570132625697995,0.0924457768583438,0.09589552776501531,0.09527387226287598,0.07114989392362313,0.0923490621236236,0.09822826994430746,0.09925699874669924,0.08654787083770843,0.09986436700565482,0.08765710522471731,0.08653584892728346,0.10939713862936486,0.08896686645200164,0.10002899366610063,0.09335856311447899,0.0990852520663989,0.1014218490970427,0.09370314270557918,0.09036561001782095,0.09593423985308079,0.09277509816398401,0.10819737035069495,0.09305155083818363,0.10219604101086445,0.08104786380371905,0.09095200946158345,0.09008674841870169,0.09229247166143816,0.07968984494544777,0.09052627934605746,0.09932968870052579,0.11128174146901935,0.12382263261409499,0.11388459429450111,0.09866586489483109,0.07965716919405202,0.09536675667668715,0.10585462015578888,0.07441108527600299,0.10417396091054988,0.09910207037063463,0.09572830023847363,0.08296315323821744,0.08912183132213469,0.09245559108269541,0.10732068286565606,0.10779280454041974,0.08901510663364215
BWR-LS,0.11386565846265344,0.09236350715789128,0.09787625692451253,0.11838237102773125,0.11247884984291905,0.11200410418715227,0.11982028118153175,0.12022179570004295,0.10795497151657951,0.11327394589107977,0.1145934431575814,0.12470366288610635,0.10124725339574736,0.10431804259585901,0.08869209936078781,0.10749186569891417,0.13230556235915453,0.1300041527764613,0.11674965116559177,0.1352721221658363,0.11622586322438815,0.10858849507148005,0.11411919588065018,0.10653907123995894,0.11980335663320907,0.12035936643138549,0.11861182482243471,0.11505590339301769,0.09794346512134537,0.12040077741075239,0.12109064498558386,0.10501523670402148,0.09230187176331099,0.11260227246424105,0.09918209689251095,0.13676910208875118,0.1113941020996037,0.08997846256085074,0.10080747603739927,0.1275948093958885,0.0964538170886141,0.09847638365525342,0.12039168980262636,0.09712783533951608,0.10767772930125256,0.10407734809286524,0.13650892338459839,0.12192750555435926,0.10987893483022433,0.11114019918395512,0.09596501368439736,0.11023043503309683,0.10222067787353688,0.11214997753519203,0.11770308907304901,0.13449551506912907,0.12177290592590308,0.10743793858710148,0.09381743140639691,0.12343783886374189,0.12792845973517622,0.10913363805674313,0.11121738538550992,0.11042178287117121,0.10932538314893099,0.13568446902163983,0.09068889724414204,0.1083854889543396,0.11604408030789377,0.11239268673331075,0.10688427524261253,0.11485625245132036,0.13798396891508985,0.13103630423648793,0.11311798403078967,0.09921796970428905,0.12016075894389462,0.11643304536615025,0.09331605933154659,0.11735953773571246,0.10410457368924364,0.1061600784317747,0.12529391513062127,0.12186832802752605,0.10969927727860511,0.10743497459375274,0.11867116440957833,0.13073571475399234,0.09742991052586221,0.10465289566742246,0.11499427266253154,0.09423395525345417,0.12461760028723116,0.10339955297046384,0.127038927236563,0.1193625878915227,0.12542821363408463,0.12513477259169822,0.11499747070974413,0.11697488049587922,0.11731726247520087,0.11875236884543393,0.12046185885815641,0.11402495099417438,0.1188663745052612,0.12620979439285837,0.10888870185259368,0.11777772497025352,0.11887378589752691,0.11344928190399285,0.09596503807510805,0.09762770797687081,0.1116489657310636,0.12114258000169915,0.11219502872085972,0.10652831179100453,0.1153895874634659,0.1209725007096321,0.10817207563553911,0.09598881593504897,0.09090402139046776,0.12227425002799112,0.10388801147046284,0.11620988698369372,0.11976918155612641,0.09708192148754323,0.12482720509218752,0.1130365388889617,0.11143585485400853,0.12444976702086269,0.11114795567132667,0.11542979915408287,0.11085014007601125,0.11361930299676648,0.1161262160895824,0.12433271318011808,0.10961894758099562,0.09112436092597953,0.1021753253590678,0.13612629754189245,0.10864494751062159,0.11338734404987867,0.11657854984424898,0.10573374698454531,0.09690242041892781,0.11097257438361767,0.11681253173184808,0.12079614906429077,0.12557336031147762,0.11260758118893022,0.11696961220219211,0.11620108965753521,0.13584401689167971,0.10022468821509523,0.11421798150621211,0.12302364265718839,0.1253960721534009,0.11924338974765807,0.11401755830667976,0.11344416916788164,0.10944078565755648,0.11263103829075537,0.09786992631013418,0.11545469601607196,0.11572807082446795,0.09526224089316009,0.1074491731409823,0.11286621558938646,0.10803238110743829,0.1196956211379316,0.10653585948118327,0.120563645049708,0.10898682873682485,0.10085113782782797,0.10446246399162666,0.12171340629808708,0.13625173702807308,0.12296597577928847,0.10063709568565571,0.12590350103721218,0.12816548634732097,0.10326595966132544,0.12023302347611271,0.09829499396518437,0.15293141783056488,0.08817992530554937,0.1111261112669646,0.12430072193725417,0.12515870681313532,0.13580476702140812,0.11138287186685282,0.1187265926947997,0.11144454546112703,0.09957197638791054,0.10559541149004388,0.1082313388274261,0.11979389608310774,0.0962133611619252,0.11468822832009122,0.08741772902974775
MXBONNEL,0.09961011705704191,0.11040010550277801,0.11941781150972385,0.13166167345228305,0.11956883142786878,0.08430539499353544,0.10747380558439305,0.10225442701213777,0.10743837550594042,0.12819405179184332,0.11252021968401599,0.10081174315967784,0.1358772309935806,0.10722765665034444,0.10509317246896262,0.08848198000740896,0.10477703728286825,0.09729326102418574,0.09820425805469879,0.13177339812443137,0.12403599102105926,0.11267665223995639,0.13012160345599932,0.11601888852739377,0.12835831606684714,0.09416963397369493,0.09254622136596546,0.1240462314505178,0.10753005365099903,0.1042389303037669,0.10839091575357555,0.12186746287095802,0.1067527604722431,0.13465597506917612,0.13681978616904317,0.11979011474725083,0.09926028915055052,0.10582179956421721,0.10790367687541047,0.1263905247683956,0.10756590950710258,0.12365143349594183,0.08537325418791647,0.12497585780536546,0.1030736591695448,0.10527774619815111,0.08759777350852503,0.10688011306651318,0.14522617059500745,0.09815270094067058,0.11674919612443431,0.11422405897273398,0.12354075947983405,0.12448858805097464,0.11956985905372265,0.12180465582025239,0.11955440549764634,0.11122670965149258,0.11925071908779783,0.12735339219029174,0.09058652826082157,0.1190841673925911,0.09508692179478904,0.10401661330676486,0.11955501667896314,0.12507401160920537,0.137405674241407,0.09458884043187217,0.13400163873418725,0.12363227181008067,0.1248581453750891,0.11043722340070983,0.13380527961712732,0.09181043412509808,0.11164859247801029,0.11551307629480939,0.12388863938352863,0.11816557096431995,0.10674504517290224,0.11601091032623506,0.0987342193800783,0.10410090405989895,0.08890248360133796,0.0831240317856937,0.10919881362315505,0.10257063142227811,0.1127232518665179,0.11933978279296677,0.12501957947316683,0.10297495615234668,0.10432907647313784,0.12649278616251966,0.08922099959242125,0.11226621988369638,0.11752109801545686,0.10527161040587903,0.12381655931138352,0.10778954296210985,0.12032425203800147,0.1030687619046774,0.13062252965474688,0.11917920989983051,0.1128556828120898,0.09419719557487682,0.11788262086773861,0.1464118600392728,0.09339605100336396,0.11213307630962388,0.10326882059844017,0.11649885937995479,0.12011488282839371,0.12666940381505196,0.11789155442449983,0.11874764172237846,0.12761195850874038,0.10950996053640266,0.11992914034283741,0.09629580662694559,0.10061127448593071,0.12252111717691933,0.1176606303698039,0.13444132725643743,0.11172798829469532,0.1267835958753575,0.11598284545194137,0.11836802674750511,0.11660984518433976,0.11214717057677598,0.12778308901540875,0.12028169792865939,0.0958517256115432,0.13156332943389956,0.11699729004547381,0.11915012400573886,0.10461096376229799,0.09841552200392578,0.11246358454038126,0.11458019763123861,0.13155548086349445,0.10366442591321266,0.10455741552018012,0.115532020012656,0.10262653076398574,0.1223015828365163,0.1273823411633597,0.11912218895537163,0.10177312207976498,0.11016258544132418,0.09588534108379924,0.11891472126274545,0.10689432809350641,0.1090821206318043,0.10885442329689891,0.118811848650612,0.11360960448114582,0.11760306170033047,0.11431249367615287,0.1158530291049528,0.10638598375819468,0.11327296129669728,0.09936699687111382,0.11720953208252205,0.10782345065513865,0.11979775082128012,0.12680028354771825,0.1015064199115236,0.11751992043842856,0.11276687512203613,0.10850268890586641,0.11916937261960564,0.10444912179798406,0.10496416138004379,0.10749469882497471,0.11453453389398172,0.1049652682665914,0.09123630476874718,0.09450215485148557,0.1078715485147559,0.11141196088642058,0.10929748769986951,0.11877510341790053,0.12103576748115395,0.10235827029802651,0.12713741101523288,0.11026473811239301,0.11428398370944393,0.11082875950467437,0.11789118827849497,0.09786185981998817,0.10006053576689278,0.11265124032040792,0.11241607309609741,0.12807408151926136,0.0822449990527247,0.10970765660233693,0.11792461592317353,0.09640834732812766,0.10805118915660995,0.10407324970305042,0.14905175811303903
HYSPR,0.1706338814872231,0.15424680520683,0.14813126656172212,0.13342284283776917,0.1320851883718643,0.12747323575840008,0.137109296178171,0.15496994580012588,0.1561460041881117,0.14449568282372333,0.1339028031418802,0.1645676140710519,0.162873194003331,0.13788764352134303,0.1374957707439242,0.13689478058600715,0.12231972139596019,0.14963012987018062,0.1394281931940253,0.15236452867820155,0.14290942227215825,0.14273832290349564,0.14906034622620154,0.1471411004649132,0.1378908402413941,0.14906943330386577,0.1484413469101148,0.16771175999484908,0.16677724969032112,0.15687708156916505,0.11929201470783413,0.1662636666289107,0.14268171032600654,0.145262943891474,0.1287088903893532,0.14496972370004413,0.11444580983255964,0.15531320963942902,0.14131752353418314,0.1520841651882737,0.14543399908673885,0.1341907107402082,0.17959451019867437,0.1534418303753661,0.13623878639228768,0.1335774637257444,0.146311727868893,0.13888190780418636,0.12467496762504145,0.1305468065871939,0.1392255441526647,0.15132696450430502,0.13992667556402874,0.13764801117307265,0.15362115394189257,0.15835529138893215,0.14334175155205556,0.13694647344594457,0.1498752361846145,0.13958818402450343,0.13929977240625444,0.1510575968059001,0.1781153621982572,0.14340537776784731,0.17306392804552298,0.1479444864116501,0.1384721645179124,0.16549610040892093,0.14492100062048743,0.14613926068994967,0.1354954573641267,0.14954136649793498,0.14274939546323615,0.15491403496902328,0.13876853582566703,0.1368305265466726,0.14371017218074744,0.15651427861358597,0.1391873846394118,0.13896565509053646,0.1697619020027961,0.15883510628080855,0.14980586931767914,0.17346229701260343,0.1779738760620041,0.1230860102707021,0.14711857280335536,0.1456004803331397,0.14182525820112074,0.1554534301189539,0.1469543203135476,0.14263626463394022,0.14225251309588696,0.1437241029058908,0.15780043561755527,0.1744855166121427,0.11436230599343485,0.12092444495618798,0.12926926541531836,0.1513856603703183,0.14600856489147773,0.14923037366653066,0.11075154347375671,0.1302865875896707,0.1429485665683509,0.15114268565941455,0.13177858350103808,0.15541905277092202,0.16041939502222283,0.14263287921400686,0.1365023755928719,0.14609767803557078,0.13921200703317982,0.14120046971709557,0.1540467705455155,0.15050147469700423,0.12254199285311891,0.1558647151662253,0.13975542297820262,0.16109507960060232,0.1322030110462465,0.13954069336223887,0.15409826034615923,0.1651739522365203,0.17732738763609027,0.14933846882220056,0.14355537650282457,0.16463422957260487,0.1328092158948219,0.15568387447399845,0.14848633992375784,0.15960205814651493,0.1346483630725052,0.14555762684991772,0.142030779328422,0.16091228018488454,0.1421432498929711,0.16939965483286024,0.1442848508965414,0.13064570262621655,0.16111288342980465,0.14787994546495561,0.146905556007239,0.16514083657478895,0.14083869550541844,0.14005266831819776,0.15127936100529246,0.15870449427363187,0.14411469711990146,0.1538134529507766,0.15652083927931637,0.15441527328339744,0.14528999286838046,0.14461787551708516,0.11853750334542014,0.14933004176198003,0.16168638376871966,0.13946119766259968,0.13392287102538306,0.1323381448866566,0.12843371014904217,0.13854229840537632,0.14760048302056195,0.13454391891165862,0.14144285358055309,0.12663680731134672,0.13030857338205912,0.15166819043771182,0.1283208976446251,0.14896219111910083,0.1679336546877139,0.1418328011234251,0.16888284080619587,0.18846376793010058,0.13488731094771553,0.17232035870802762,0.16527009762635878,0.15895299892304154,0.1457391352129199,0.14589895361562516,0.1434800999010073,0.1396245438690319,0.15378661853514988,0.12756426775443447,0.19427712415987744,0.13203451928849308,0.13473388576346454,0.1674973760911266,0.14405768895180934,0.13032454487316505,0.14236208432266673,0.15472749718101927,0.14324910440088334,0.13263743139505507,0.14466804869869365,0.13452473278190535,0.1656327897179618,0.14833392492324485,0.15504968513465026,0.14339930149537694
SR-POLAR,0.12094795650840873,0.14190447360476988,0.14480375355705402,0.1231420874245457,0.1329192322931702,0.13181922026449203,0.1339262939990821,0.1273704079199642,0.15342443081298454,0.1462917591779983,0.13523706852914777,0.14171216157223837,0.1341965107577011,0.1384292891116578,0.13796725959248257,0.11929451783401818,0.14697478247735007,0.14542667735661632,0.14293411825676142,0.1449445611605352,0.12754253854513925,0.12272472925256507,0.13213463253673727,0.14273933755283666,0.12450880869708876,0.11271074512387647,0.1393913686230188,0.1339862071862329,0.12466712495285608,0.1417571129830378,0.15028513694007134,0.12139522974367373,0.12418397174924707,0.15419006342736474,0.13826674093796334,0.1398122408679734,0.140967586044808,0.14344132194354262,0.1214179699271395,0.12053331329608968,0.1283873830111674,0.13313235241459834,0.12526400526246134,0.14315612821342769,0.11953717410272248,0.13448758294962723,0.19176442022549964,0.13108362470055632,0.15207666912180032,0.12263301018773565,0.1372701106051443,0.13725277433372032,0.1540580199283317,0.14364421435620003,0.12235373374103709,0.15038175191169004,0.14048844416912612,0.14556513603522744,0.13779645512834407,0.14977188585737858,0.12213883422435438,0.13469862816266306,0.11760085636594292,0.14472823502987875,0.13641293859599837,0.13559970298594193,0.15263321692520038,0.14067409176853485,0.14671127371399958,0.14117458183015824,0.14396971847836235,0.14880832271422043,0.13673191621555159,0.13964704785791618,0.1369652949709171,0.12875305601040835,0.15029718181054286,0.1415635285995184,0.1409810757190869,0.1349029895424763,0.12487516587708254,0.11795878985216213,0.14302166543701533,0.1285730069191316,0.11971555453248685,0.1552673586346862,0.14678560081117306,0.1468011952153566,0.137220756394498,0.13396005010302517,0.13019101044610873,0.13138507082062947,0.13074656595647494,0.1378168108279267,0.13098990851686057,0.13062579395925875,0.13916907616083904,0.15964883064150445,0.13083811609732154,0.13913414996251836,0.1503194414061108,0.1274642628665387,0.16650520686150794,0.13017016026806932,0.12622033385413567,0.14314874052217794,0.14112520354681057,0.1235984004630064,0.1319640665222891,0.1156592902438827,0.13488247073228185,0.13604906838720618,0.14148871040323222,0.1157425477170708,0.13649541401875068,0.1275921538014348,0.13530092081428335,0.1327007256233812,0.15523927030839277,0.15213786645888036,0.12477137111821131,0.13298288531884667,0.12015106091125431,0.11499806023063198,0.11649382652964428,0.14654852800880117,0.1484627877212045,0.12638983586622266,0.13815029126322367,0.12920727146899116,0.12447271825903618,0.14699075058489683,0.1885986857185599,0.14413318734957373,0.12849749458672846,0.1288119296415092,0.14837078906538245,0.1446126943621721,0.13656383739472494,0.13154425626647603,0.1461910768325582,0.11310104576149578,0.14323048950463,0.10922264355014243,0.128945193111951,0.11994164924108926,0.13997649451497893,0.14896291222548688,0.14616630311148746,0.13433328390226024,0.14433514908289488,0.1786796928909854,0.14566752246838113,0.14285640113397616,0.14200123552102653,0.1305836438564915,0.13741028387299045,0.13027645670370233,0.12061587122588734,0.13772210901502316,0.14881817863019525,0.12741281318234185,0.1323516739663538,0.1431516900947879,0.12989739009126547,0.14054911440904452,0.12547325032098267,0.14189910191873592,0.12402047055144776,0.14310447180103278,0.12100711040664651,0.13707612133212535,0.11767270817514124,0.14147630600602992,0.12839932421291086,0.10749692699980008,0.123673877239186,0.12764677144933473,0.17855700710837166,0.143588713551672,0.12479261528051473,0.14414775813802627,0.14204020724154376,0.1297209351313341,0.21083670848549455,0.12381766916991006,0.1365095358578389,0.115130910481427,0.12661825688816333,0.16261541656474404,0.12012379286121133,0.13853341252812038,0.13922435731040908,0.12410549954692052,0.12130428873359166,0.13583604081924863,0.1314168134483666,0.12820035836907495,0.12752203111823843,0.1412241186771986
PR-BM,0.1827044687337882,0.17714078029947436,0.18320974817055335,0.1908665187686419,0.1947912498264115,0.17709321809566866,0.1943008486844093,0.20686701503073837,0.19124170785653619,0.204252602790128,0.1846508912852152,0.21346992066979356,0.18882164420534572,0.18449243620444067,0.18052832425500986,0.18004830355934295,0.1853820640976894,0.1947334317415623,0.1577521176123212,0.2013909928036243,0.2059987989898809,0.19210798976033097,0.18898414662412177,0.18218758872550198,0.2156847090322863,0.19884187961613087,0.17307842413433638,0.19197865438700645,0.188363019846244,0.16089619185341986,0.1779971058420107,0.20742995747208307,0.18319553974820724,0.19837644042200853,0.20237644304140398,0.21355459486851902,0.18664785577987755,0.16172214691140116,0.19933181460044472,0.22060975666732677,0.184933052986992,0.197758678783329,0.16811128574137393,0.18499191651097144,0.19028887638872946,0.19180705591718283,0.18581654474352968,0.193052483882031,0.1820198595984437,0.18016778589916468,0.16637326838774114,0.16883648577357838,0.1927739137478934,0.18703102419390602,0.20154011770740923,0.21313756436773923,0.18455462632391964,0.17805247882566197,0.18277102211933904,0.1904739559071459,0.1858476274407184,0.1920396289701356,0.18474869516526685,0.1837111667867857,0.19997092546355003,0.21156304276828322,0.17377761684449236,0.16389244563073904,0.1948677440103206,0.21293099550329794,0.1815466261428187,0.18635152031034577,0.2124021781768695,0.16600497460098174,0.17985495316954622,0.18608781528362497,0.18569475474616273,0.1834864107068013,0.18315862408765735,0.1826005971631354,0.19629464406091876,0.19433527824982544,0.18425357753659063,0.17673184717162113,0.2019797967929555,0.1878480836945026,0.18020581872192065,0.18694910614304408,0.18441942393905428,0.1726507315796499,0.1806467180823411,0.2000318246730665,0.18825100131168784,0.19734189837890545,0.21317195032671057,0.19613465554833187,0.19786389327086343,0.1873966794873142,0.19644695454159286,0.1771875007755708,0.19015767104364775,0.20323674053875096,0.2036565247133247,0.16817638275262947,0.1864332738083708,0.20896036519899672,0.1968770860722031,0.19802654976693698,0.1876524078363863,0.18064822152737484,0.19765979105774334,0.19969080774734235,0.1934248429244683,0.20793355342932754,0.1955760611160323,0.1913651278619106,0.19483423785443288,0.19540224672497541,0.19731142834523205,0.18030893213171306,0.19375564339011223,0.187782281193605,0.20144111819130064,0.20053204331120567,0.18657924202130707,0.17700972294931536,0.17751413934471302,0.19562976920735264,0.2037370385824473,0.20475767927348565,0.189542543100684,0.18108147650024167,0.23411267046984116,0.18883777392045428,0.17941173997763427,0.1867899825173387,0.19892013880656215,0.18700281411870553,0.1978355313393636,0.1855110058430229,0.18570069375282136,0.20337979726704877,0.21324788393014668,0.2151532338820261,0.18783694060047762,0.19569850567680744,0.18953715818660213,0.19024818728474316,0.19472120486766306,0.18538446203554496,0.18378707229027993,0.19772849869684292,0.20783777287982175,0.20279439265329016,0.2018331943342826,0.17065963549500274,0.20722970982547304,0.1878930748841221,0.18488443941491986,0.1787505478863636,0.16382620638009562,0.18940667435206374,0.17952782374405038,0.2054844878989579,0.19841820111958156,0.18079284341931187,0.20740665575036085,0.1973686875872133,0.2055353231464497,0.1962275801924719,0.17438463654982916,0.18434510233622073,0.19437859401213173,0.17258787922408447,0.18902136756637855,0.2011370266179984,0.21497231145717088,0.1879886195068603,0.15580011590791956,0.19008041195649206,0.1809988665103267,0.17128527087352086,0.1780735087087478,0.18696038298744252,0.21738082796259306,0.1894791919474251,0.19134105789357958,0.20051735715359809,0.17959167675827437,0.19349808436283555,0.1875033884563009,0.19095005521153585,0.19378728793430186,0.17748599901878812,0.17775427328164137,0.1787460713357274,0.19241951368884305,0.18343885143948646,0.19363450293726783,0.19841650183565385
