,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
API,0.2858856732609651,0.38960762195167264,0.21032837632463805,0.27098423678109956,0.3749335005605658,0.336149851401683,0.3211071525800376,0.3360872357549849,0.25056470157664495,0.25741145145210226,0.3450196654104583,0.4673204117704602,0.3385339507015035,0.2190104111653465,0.3185110578322776,0.23886682544938723,0.28996545006014346,0.2684994904339001,0.2495853051692367,0.272791010775592,0.2064147649815403,0.1768930447297076,0.38658460710886106,0.5453521597252956,0.46076059076510334,0.3461535505828168,0.5096024012124599,0.31133248050944534,0.4042427675774182,0.1811006419792863,0.24403511735727726,0.32776244683024647,0.40072545520559316,0.5762244080833909,0.5793979405266233,0.2741012304390152,0.44498080231338083,0.2670524314195573,0.3005186522041503,0.2807797982788167,0.3739870947483824,0.4668854869478361,0.4234272560272565,0.324323475633571,0.2986536356377541,0.21615496464567766,0.4710291202211591,0.3568607025211909,0.28249765568885254,0.3947713507665013,0.32948011310075714,0.4127936540071868,0.24014890427999105,0.389527389680145,0.28153718270675415,0.31013182163509195,0.3033697086751694,0.267158318955042,0.5273154215992096,0.3392055312817342,0.39250167641036376,0.3128845541517403,0.26702923123736905,0.3300175143055248,0.24719742371957407,0.3413245868895977,0.19493703207532612,0.5212822526273061,0.30842370309230305,0.32330261088133555,0.38163738219345,0.4105152209986338,0.2587831157552894,0.2658684818205245,0.3325141590771428,0.20126121076106215,0.3305232516543673,0.26597982299299167,0.3884884367426778,0.3009499806140959,0.2086325482048718,0.208881288768472,0.2688844112205642,0.2817286702986697,0.30078029643401977,0.23760289451209762,0.2847954202609768,0.35598608995970366,0.29552578335685703,0.28967580542530286,0.27934774768765935,0.2987730289195324,0.30163897526326355,0.26736635079797827,0.3499902129335835,0.2610379226128355,0.2712427097483349,0.27251468533953466,0.31322754294067584,0.21659889934795373,0.5080495274715586,0.25569585592625405,0.20004699151155184,0.2696987564956676,0.32076704341535783,0.3166592185158643,0.2671049273490147,0.23217263698154622,0.2407017233954459,0.2852074889142116,0.29902730739372146,0.26519486474475484,0.23949141140967392,0.40222885930537916,0.33311520889934915,0.27110523619445176,0.16496281018421563,0.38502379935589226,0.4239925768954904,0.24649209380171297,0.2616499947922166,0.30710400620104605,0.26999944338316456,0.2553676567177027,0.1982993817327471,0.42925337876346886,0.3103829681040821,0.32936447107433464,0.2982413652284238,0.36601857574821633,0.229319531445759,0.297812008620116,0.343064697701847,0.33703446536165904,0.5080842949745143,0.31863704478213806,0.3683553481897029,0.3134146587126118,0.2596208776972693,0.42030140560325546,0.26561428674165066,0.22069690337854675,0.2375301205894346,0.26606044087289343,0.24026734419066317,0.29808456129790545,0.2180125595114819,0.35061877525827034,0.3373999231279003,0.28472488444643645,0.3461370154858605,0.32214878813199044,0.2963289064125673,0.3043348080212654,0.28825181503931435,0.3294748269313284,0.29695329388603714,0.25937384193197727,0.4463554204803246,0.2276550637746766,0.18166175041885177,0.3068470951937738,0.2428710005574489,0.21229131384344477,0.2713133159597351,0.27716212501525217,0.38368781268980096,0.24611552958251356,0.1830759545271213,0.22153740806549102,0.28812276096103245,0.2435498934827802,0.5869839338521635,0.3138846199482036,0.45875468717677403,0.316154324768606,0.26951703555870843,0.3498528454670631,0.6084195088848564,0.33896349707682055,0.35778729929076664,0.26292215146094616,0.34365878537399613,0.28622451011810335,0.280437173351383,0.268320345564445,0.22166969682990847,0.3516407573561981,0.2696507081956954,0.3077913062115079,0.24655374394128518,0.3746041183249633,0.33538316604500457,0.3974904426813775,0.4274134766523541,0.3489053287677509,0.3645263381557114,0.2164749461074613,0.4067990423567583,0.3186334100942188
PM,0.3851814312095274,0.39215129597462234,0.3475349470262077,0.35661251960713947,0.5202488503950582,0.44118365843499935,0.4531519465239929,0.3703804917264791,0.33703447243693563,0.31967023164500463,0.4081844707456282,0.4652710473516395,0.36862295899669584,0.32059187178178783,0.45387186236682736,0.34625542875050225,0.4100500090357795,0.3692244919701078,0.31143483630963703,0.37603027840035325,0.3340023588676288,0.3693027334355164,0.47914565757035343,0.5082393388255037,0.4696246448600723,0.45827246997650395,0.5052417706293383,0.3908264956124458,0.48825060891346245,0.33889365902717267,0.37819896555390714,0.3900455980568338,0.43179472491801413,0.49743328394606084,0.4821164587764415,0.36448408298349505,0.35392802130267625,0.3734071759582966,0.40830039808955193,0.410811468979942,0.38837790445480785,0.43401919622039536,0.44747583994950507,0.4158151901759967,0.3524419914520178,0.36879318403528544,0.5643124945191943,0.4018929586605848,0.39010173005029675,0.37533327570036074,0.4346989101403012,0.4373195731161091,0.3439100302753279,0.39240162489306957,0.40602569535513533,0.3926395531941769,0.3941893422943548,0.3734681024688576,0.47745001400945825,0.3904538012855359,0.4146902407527661,0.3587721361790847,0.41299549971815624,0.37663442082996684,0.35807091173891664,0.4134533192380103,0.335593926365695,0.4296276870745712,0.4342809620581174,0.3719684483505093,0.43153946702322865,0.4087142968690502,0.4455442060958676,0.3417710185552283,0.4206937681009178,0.3302841395351933,0.3925931433198993,0.4435236713480915,0.45405063178619914,0.36826929264794156,0.37223652561838955,0.28171068903843616,0.35214750629764474,0.3645037062953644,0.39970529324482745,0.3720475370940197,0.3816591927381204,0.3995223245963913,0.4201235349184172,0.4252665405482543,0.39101514985971225,0.41906325953021767,0.4015718029913932,0.3425814340237678,0.36620791275311976,0.3643081014273202,0.343022225351244,0.41721834817850895,0.40982851908432605,0.36057718646393794,0.4920143859695835,0.4547254273724412,0.3799803529642247,0.34887592768837594,0.36372760103708207,0.3840844373329846,0.3795448989264007,0.37526496145569865,0.3896503245781692,0.37872194264032855,0.42342115015067866,0.3321973076189754,0.35575842577527195,0.3957839974306945,0.44232865004722877,0.447954317271245,0.3068909784432345,0.48410101398146704,0.5015079573636698,0.3749873138880386,0.41815818748467254,0.441220002429481,0.389398349382331,0.4421651307933503,0.31507612892078485,0.3830691998814268,0.37592021677118814,0.428861067420972,0.4198109834655465,0.40143902951462773,0.36921002302492073,0.42902658232306873,0.44007572395883116,0.32294526432362597,0.3983823290783553,0.3972566836158018,0.40506632405503984,0.37891872943841204,0.39707465969501016,0.43632292348961893,0.41306151652154105,0.3299904186713626,0.40565756353589366,0.3784867096905189,0.32743155930606327,0.42449141902686477,0.4129969112406089,0.44119274722539653,0.4441455617848251,0.4139473011939196,0.4358945826784397,0.4943899018085663,0.3571024858333333,0.4082165014111265,0.38299452942769685,0.39251077748563007,0.3797836235934032,0.3510318976528695,0.46598733986227625,0.3214333794804393,0.35329528723231785,0.3237542920966517,0.2854678885383735,0.30845443359892116,0.34270600451729183,0.37318611676095353,0.3696043821218571,0.33187512891404286,0.29332454012441345,0.4248171451347936,0.38963861967034474,0.3235813421326493,0.431719037022775,0.37084832545582874,0.42004394414036145,0.3530229994207484,0.335772588544087,0.4905957805463106,0.5042833928229209,0.4124706923148474,0.42867243019042167,0.42317984573731376,0.457395639244226,0.491220657882862,0.31242833619246924,0.34255352713013126,0.33122021845308763,0.4299441093298924,0.32792669720471496,0.41781020031395794,0.42937757850229635,0.4284336958783046,0.33649965448746105,0.4199948616136615,0.42498975328108135,0.46446472261148924,0.36141188721715295,0.3879188311901957,0.4769824934314992,0.28903545532948444
R1,0.1344910353254859,0.1626537834232418,0.11982312428891027,0.15464911235239298,0.16715937838354336,0.13584052918434794,0.1893516400610895,0.18462771817216717,0.14771345715299486,0.18529071244646356,0.2075431383200522,0.14722769142806866,0.1775499853490188,0.14796828536838802,0.2141647853674984,0.1272420563100534,0.15910710860738395,0.14129144859120044,0.13775118197237807,0.15278555142495562,0.14906468930085479,0.1714318235192143,0.20429769922828697,0.17428161314137094,0.2879748913244102,0.13855790652396266,0.28829343743096464,0.16641004973788318,0.20620365139012456,0.10398557920327837,0.2728686370767983,0.17292266571673168,0.18021597308466553,0.22243927881447534,0.266006948695119,0.17182389738398288,0.25013490151477863,0.16588643098691147,0.13799577758649997,0.16806499534446998,0.2008597524567752,0.19153273637778537,0.20708002572223375,0.19444229248316738,0.13848003939369535,0.10437936001867787,0.15948928718765565,0.22429964417515338,0.1474208668521109,0.1940575284414494,0.157670683812877,0.18362887435573358,0.14269093212963435,0.19272102159417512,0.127078017156112,0.147682092202414,0.16414229217008128,0.17889435061923883,0.21323759911634843,0.12384517131096133,0.23157570865374935,0.148521928507899,0.14819600120444956,0.18457320892101267,0.14070941016446073,0.16720844768253576,0.10429605472387482,0.2162113816082054,0.22236286593581933,0.13498018317815064,0.17709452507173426,0.2197565027304931,0.11574795194086925,0.12992984106769473,0.15733538873999245,0.16840229386879368,0.17166072167874624,0.1645253504979368,0.16307749946998049,0.13796184855716107,0.13832100860175467,0.12564353127518044,0.16602237493230135,0.12823694242122946,0.11040908215285132,0.15779562893952706,0.18899128705868065,0.16500506007031268,0.17829227498881087,0.14646839223372085,0.16625560026341746,0.15029702010793294,0.13303483267665087,0.1581355035956339,0.1553412926039933,0.15373135803434562,0.19625372327971577,0.1896537776497005,0.17210719278241574,0.12026641702125741,0.19996348266611172,0.1654766863745055,0.12699202614043634,0.1821981371518779,0.1467677166468833,0.15608340622047526,0.13506843291780898,0.15947438067051553,0.16692855106591475,0.11088578045813617,0.1657183943178485,0.1366028788058399,0.17232448959022015,0.2746024639627857,0.19098950113335977,0.12546816571830108,0.11742318092608332,0.15739799625698933,0.18341215134958866,0.14742607559098553,0.1588857273566537,0.1546425461327342,0.15743733155295836,0.1616413480684021,0.13169290356344102,0.21467820377605032,0.12218870687298827,0.1568199300627048,0.14561348607465016,0.14983154614524016,0.13000591970091802,0.17230156020976384,0.15841645732116846,0.198714233932498,0.27108785647060835,0.1251654472702567,0.1372026581869856,0.1394881749612316,0.14150565408404922,0.1477628077130922,0.12301928286415441,0.1576475148171762,0.16799435377019267,0.16002901147564763,0.19826471302905366,0.131822064785332,0.17540179576828765,0.19280819576661493,0.19500633119862373,0.19046815088919652,0.17262827636318565,0.17572934620171157,0.20129327410516937,0.1492317206746733,0.23892934929046591,0.19146770966302007,0.14856764006682455,0.14002331956372946,0.11732002314511691,0.10424365252649587,0.12103201423442966,0.1702824053398814,0.1616515001463946,0.22999818935689187,0.1836984820828905,0.131637237768338,0.1705022661062475,0.17389189255730333,0.1489670415093544,0.1477380437175436,0.14854840531990693,0.146439049852083,0.19746602312846087,0.14827590186898296,0.2673609678085672,0.1887903478800483,0.16662916328688346,0.16930612511130771,0.18269641701016925,0.13264093243784444,0.15165653825627956,0.17376668691933747,0.17087207546730476,0.13736024820508966,0.16124693547457483,0.09855691306504265,0.140071040559961,0.14355689363050317,0.14935994567313732,0.1660903854798197,0.122909984007275,0.16098824157954247,0.17466943825468673,0.18579749112469127,0.23743871352803592,0.17029908993686135,0.24525207718417108,0.1550781303600907,0.17605395408845656,0.207189872082425
R4,0.1440776613570934,0.14254677485960524,0.12357515900688339,0.1373467193978742,0.18363312784969424,0.12534657504072247,0.15746331677888645,0.1366722611809925,0.20871291671099354,0.12067417829442355,0.13650774652055,0.14143887953373072,0.13857760294376348,0.15362699875058092,0.12702104776524076,0.13381122154006794,0.12298958718974344,0.13052343690969914,0.1311109486828217,0.15348013135957597,0.13056148293505143,0.14940473516364702,0.15714725598125556,0.13683583485211426,0.13128391955418792,0.13123210454418718,0.15666623867723953,0.169801772512017,0.18274057856114598,0.12672784190701658,0.14390483996714495,0.14962082751636765,0.14004726892047878,0.1578234682587867,0.11303386936857229,0.13613910955480837,0.13090868126679744,0.13453048953753544,0.15228536049608002,0.1314477561939623,0.10311481393247073,0.1424983931233785,0.13685872034765093,0.1172839375565838,0.14314438183779396,0.12376712154575908,0.143938298381239,0.11840786027316656,0.11532442891045658,0.1521830257964675,0.12763483748058338,0.13694900189508824,0.1298849320962329,0.15929903823080982,0.11570890417140967,0.1290488920487127,0.14881708536905602,0.13049445345094404,0.18048964419063082,0.13415457083951413,0.16133803114406353,0.12601890169009403,0.17179872885569117,0.12600898855680545,0.14780582208286636,0.12836786915769416,0.15722041040518756,0.12743945039342544,0.14644279450255837,0.1268592516605386,0.12157667117108832,0.1234752238268889,0.15499174476190114,0.12287163247061449,0.11800125199951932,0.1380899567444017,0.12290415281463625,0.12060125050091446,0.13552244531870827,0.12673739062073938,0.13333967833583524,0.13857725208457972,0.12405610434909338,0.13251609220454133,0.1423310594224715,0.15135409270639863,0.14661885697272145,0.14038542758348296,0.171305160254864,0.15676362745216593,0.10957960193447358,0.14193892692011995,0.12185580992721362,0.14377875875660862,0.164197386401286,0.14899961111304597,0.14518500692971967,0.11983594410497399,0.14344949911055616,0.14345420758404262,0.13895244928659062,0.13720590815158254,0.12769849712040898,0.12677759030731425,0.1107353807873314,0.16245646229798308,0.12560869151144863,0.12473936592211154,0.13954829569441937,0.15901112548362592,0.1113629742362598,0.14452557724559303,0.14256502951635702,0.11528740945928824,0.14377627878155155,0.13293090764120188,0.12026850572813715,0.1478209979156864,0.16082750754794087,0.14628722499757033,0.16743687143250682,0.15316795314524653,0.11156661320529278,0.10993736044780612,0.15389225817810384,0.13829129392342304,0.12167730192145017,0.11473779204780636,0.15236248765054827,0.16872519775670533,0.12619681397862206,0.12438447882873538,0.14735582830258684,0.1320769581329492,0.1538870089150579,0.15704933329972667,0.12796353323066254,0.14158411714119803,0.1557093477517549,0.11130200603511621,0.14642824807406218,0.16804162170979664,0.12626453386646533,0.11159972184785603,0.13188340213033942,0.11135966823869926,0.14067029429806685,0.13468933377830464,0.14797715128077096,0.16587980586884307,0.14767779377299628,0.13144368343167132,0.15575001086086887,0.13064608546646153,0.13016619086718054,0.10128630320336114,0.13194198448059485,0.10973761440944908,0.1601765010297879,0.13139190383824612,0.12931272105443806,0.14102336925092046,0.15307750117826105,0.1482944823193435,0.13967133348311586,0.14271082631120732,0.11854102956569722,0.18508933814044096,0.11397691658897278,0.1564849565237987,0.15227323504881288,0.13832896226628177,0.15839580325671143,0.15435680524712458,0.15594249886859116,0.13251550282405014,0.16524401899997912,0.1402089414712591,0.17318679716510818,0.14512406615382825,0.13478097988495588,0.19020240153746382,0.1671025364640748,0.11462497719332941,0.12442656531314093,0.1338803671530779,0.13940092186794042,0.12034458205455127,0.13068761297658088,0.12307631787273104,0.14415407235886685,0.1441896693209548,0.15289222374393727,0.14172400969432591,0.13104573446115583,0.1429995707313381,0.13323439779277466,0.11114281605627818,0.15328717969026032,0.1329059789947998
TAG,0.3036148831943821,0.3242591187249992,0.31435999644908413,0.2968256090996484,0.37279735684293874,0.33585209934744853,0.2833724914660756,0.35409219420518984,0.31439374788717633,0.33218191617531884,0.27533241331278585,0.345800426642968,0.39847596108080746,0.2703294062714843,0.38112158206764507,0.30266620145208073,0.3724119417771113,0.33487765214171694,0.28541554123140306,0.2896757089932152,0.33903044777913743,0.31684167010482994,0.346950084932828,0.3798793575449129,0.2559838657400681,0.3959026054660541,0.35718140554196687,0.32293682643318006,0.33013289988951117,0.25984747586942825,0.3728608270305016,0.327659472293281,0.36479451028940396,0.32992147371075425,0.37506891019503247,0.3373871256536112,0.3815504036590984,0.3436718201798253,0.34944520500425574,0.3058780981203004,0.3905926124005865,0.395264245933346,0.3482292283582358,0.38867514538265385,0.32847629064750977,0.2850986471891465,0.27530693148917335,0.36758389233322336,0.3332167585836336,0.40233743694798524,0.32278423416118546,0.3002787112783385,0.33600723890012363,0.33443927300241033,0.31354460098984077,0.34570737087548425,0.3314539270856755,0.29745486111726405,0.43584384660102976,0.325296628909341,0.35959562508280857,0.37010246260267654,0.34299264370522153,0.3249033382379796,0.31165308707094014,0.36085232341374174,0.32414425495768134,0.3728503146140791,0.3790147176547433,0.36086986536657467,0.3643618088973352,0.29398397377646335,0.34318637770547983,0.30522566924305067,0.3562736088021521,0.2834517153130938,0.3117003468100044,0.3315801467568181,0.3256469313655123,0.3657804141116569,0.3323773549748989,0.2956415872076496,0.3107037560979741,0.38329905506870815,0.3487716824315126,0.3060782139756714,0.27507446501226807,0.351317284097383,0.3496089566034855,0.3401143876490822,0.3522540205891786,0.27784967120054366,0.3585791226013903,0.31613199551339505,0.3398543689434332,0.2956893930757978,0.3345921821171123,0.2991897035007369,0.273765170958229,0.3676308692311557,0.3740208133487965,0.3183843409627449,0.29960491355613833,0.3177263452616058,0.4131402165386382,0.288829414076017,0.3165710006924672,0.2861392953330691,0.3294105564553816,0.31991567622850686,0.283627859043743,0.3097772236776304,0.3696197651029822,0.34498021222007563,0.2852376685255078,0.32135944807789546,0.2623716405090317,0.3488760620366706,0.3320565411998764,0.3342620680830702,0.29167063578283686,0.33848852508119354,0.2804099433636812,0.32786134883084844,0.3489070414095187,0.37439395590002844,0.3078084264464049,0.3838177829282828,0.29559445379173727,0.31518784617453827,0.30625569232922484,0.3245659551019639,0.2959758483153266,0.30282457412585045,0.4358386384245898,0.3528098580845977,0.34413103057960104,0.34826183304210684,0.2821640936464969,0.4176053800850552,0.2770299940915198,0.3578097754447216,0.3750888579228399,0.30276274606191633,0.34367607977250764,0.2846607042143894,0.36465343986403354,0.34589552972936605,0.3952319662934392,0.4006928069553539,0.37810292271390306,0.35109112079392957,0.28765942334703765,0.294823071984379,0.34822214609571484,0.3274743869207762,0.3338835928581944,0.36615556791200604,0.37546137253947554,0.3238109517298466,0.2620436345846691,0.301895168383647,0.3662379190731601,0.31015645511810386,0.29102289613295323,0.3805137672269647,0.3295366756695903,0.3157156241475113,0.3117006062863696,0.3034611800041191,0.3543266830225044,0.3516540276624265,0.498953485441663,0.36073800277696066,0.3452530113592213,0.3521140240860348,0.30677187853156757,0.33358747513086806,0.3731329563489973,0.31172979974375176,0.37366727343962736,0.25952067903245873,0.4256725772598709,0.35927509528046836,0.3458499438131515,0.29258239667099356,0.3310928541521539,0.4026351118355744,0.3311242751835895,0.40373385920086063,0.354235595097996,0.4088505609425394,0.3526027366511097,0.3503510673112988,0.3162119133936419,0.32299678537262877,0.3122771938965197,0.3326874258529924,0.3605877990247908,0.298794753216361
