,MAPE
0,0.2536062018584601
1,0.25558094274134063
2,0.23466959042609656
3,0.2631294027808419
4,0.26274847075677954
5,0.2531387637099509
6,0.24434011648363607
7,0.2669142367270672
8,0.2337606351189295
9,0.2624687960424665
10,0.27045332072409684
11,0.2536474153886933
12,0.25590155877595244
13,0.25349453472244976
14,0.2507564750271109
15,0.26590014855288463
16,0.2372809706626807
17,0.24978075804386415
18,0.2680429752035784
19,0.262284820509363
20,0.26778792914004956
21,0.26916498091966173
22,0.2536707281819582
23,0.23494972619005094
24,0.2557767497923955
25,0.2679050630571657
26,0.255650509930558
27,0.24968046979790362
28,0.25970112970974507
29,0.24421058873277693
30,0.2431649477360949
31,0.2632022240158017
32,0.2485713188857642
33,0.2461223129073075
34,0.2479498291066731
35,0.24390082817170497
36,0.2591286988073553
37,0.25159491320088784
38,0.24099486200255224
39,0.2674620741155434
40,0.26180087451427786
41,0.24056584317014976
42,0.2599374767180706
43,0.243031470077908
44,0.27055156677924624
45,0.2675242546278603
46,0.2664280122383689
47,0.24326066753282158
48,0.24458119195849615
49,0.24657405682888178
50,0.25064443105813045
51,0.26488089879885895
52,0.23998396932442648
53,0.2590143081268505
54,0.2643534236490052
55,0.2610174750444581
56,0.23071729436935118
57,0.26013327879415227
58,0.25348639727329825
59,0.25550344230125593
60,0.2529655327876099
61,0.2880676046251075
62,0.24408924540512
63,0.2506182091077422
64,0.26233262382309847
65,0.24723434859271018
66,0.25515740677800913
67,0.2546632676933344
68,0.2551366997514692
69,0.26467199212497383
70,0.2694794332446134
71,0.23648510167526968
72,0.27209307445093645
73,0.2372579289539941
74,0.26179667983468075
75,0.25596617021756846
76,0.24863546595433253
77,0.28181048815618265
78,0.2552392036614172
79,0.24411536006646087
80,0.22952184459599315
81,0.26555523149385746
82,0.25463968851610946
83,0.25643568632440067
84,0.267421619757651
85,0.25965295799978405
86,0.2646173235432036
87,0.2644636955486302
88,0.2522131279669593
89,0.23396373695878894
90,0.2437805902183993
91,0.24470915193944856
92,0.2738507841128332
93,0.2891038908687971
94,0.24852288653872398
95,0.24636350719551578
96,0.2590776578308087
97,0.27693200487666336
98,0.27009327350786355
99,0.2576965342066702
100,0.23884101763948726
101,0.2541454870828365
102,0.2670760250062025
103,0.26871511052834957
104,0.27253500540676007
105,0.2570524791629965
106,0.24670504362095755
107,0.253667544659903
108,0.25656671199909625
109,0.24984872229201263
110,0.25266948594002697
111,0.2722445999861231
112,0.21893794314096193
113,0.27974930719480057
114,0.276608611382695
115,0.23303692317069694
116,0.2551818995353184
117,0.26761725628180943
118,0.2761043244688859
119,0.26323327762522974
120,0.24198609091692802
121,0.25167476532955974
122,0.27508235438132306
123,0.25744250190238827
124,0.2716087269492778
125,0.2719257569176792
126,0.2563212155769509
127,0.26683997679966054
128,0.23388107296504923
129,0.22535726068365802
130,0.24196680712856553
131,0.2609849015146343
132,0.2535325542002446
133,0.2502243009703519
134,0.25388481033224525
135,0.2527279759201419
136,0.24435650098091355
137,0.24691834631224244
138,0.25144591551549333
139,0.2598119679869905
140,0.24301617878418483
141,0.25930777935441746
142,0.23754618413737608
143,0.24160284101144255
144,0.2491637006631711
145,0.2410319224966336
146,0.23945857420771346
147,0.26354591998056115
148,0.25462999103306333
149,0.23129149304075805
150,0.2567013142017751
151,0.2552729810300622
152,0.24889672223564033
153,0.274736437013604
154,0.25981363896105175
155,0.25778414843548797
156,0.26391827901291726
157,0.27037234891913026
158,0.2515342919195607
159,0.24016553705073473
160,0.24975877055673915
161,0.27314973365390743
162,0.23584799810641385
163,0.26122692009615694
164,0.2532427411338708
165,0.24400305548040035
166,0.25379945912729734
167,0.25771201847998065
168,0.24779285067025558
169,0.2531379217266074
170,0.26455501290993805
171,0.2525156623566314
172,0.26012032618665537
173,0.25430063616867565
174,0.25596667809271123
175,0.26896394339737495
176,0.2613348359681679
177,0.24965600546253439
178,0.27644089043203773
179,0.23774122324629077
180,0.2762355842079496
181,0.26641900524560636
182,0.25233076951605143
183,0.2509912367242982
184,0.2656010605355062
185,0.2430079346706913
186,0.2554144741625411
187,0.2369926592842643
188,0.26500019096091837
189,0.24961848271527973
190,0.22787650935984624
191,0.253658519634503
192,0.2650680861616422
193,0.26633454284288854
194,0.2685259761714313
195,0.25012837248100556
196,0.23215596695365304
197,0.24273700429577102
198,0.2547142588818759
199,0.25048683997046495
200,0.2550088820183868
201,0.012269077202426688
