,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.059,0.1,-0.13,0.247,0.0,0.0,220111.0,154520.0,1.0
beta[API],0.029,0.09,-0.14,0.197,0.0,0.0,265270.0,153369.0,1.0
beta[PM],0.127,0.089,-0.043,0.291,0.0,0.0,278081.0,153573.0,1.0
beta[R1],0.049,0.09,-0.122,0.218,0.0,0.0,274985.0,147052.0,1.0
beta[R4],0.099,0.083,-0.055,0.257,0.0,0.0,262686.0,146828.0,1.0
beta[TAG],0.127,0.09,-0.041,0.295,0.0,0.0,268023.0,153428.0,1.0
beta1[0],-0.027,0.085,-0.187,0.134,0.0,0.0,237273.0,154665.0,1.0
beta1[1],-0.037,0.083,-0.192,0.121,0.0,0.0,250377.0,152394.0,1.0
beta1[2],-0.036,0.083,-0.191,0.121,0.0,0.0,239680.0,151291.0,1.0
beta1[3],0.019,0.07,-0.111,0.152,0.0,0.0,205406.0,151517.0,1.0
beta1[4],-0.032,0.084,-0.187,0.127,0.0,0.0,247665.0,150065.0,1.0
beta2[0],-0.023,0.06,-0.134,0.092,0.0,0.0,163032.0,146095.0,1.0
beta2[1],0.052,0.073,-0.086,0.19,0.0,0.0,199705.0,144760.0,1.0
beta2[2],0.002,0.045,-0.083,0.088,0.0,0.0,166213.0,147736.0,1.0
beta2[3],-0.015,0.023,-0.058,0.028,0.0,0.0,189067.0,153832.0,1.0
beta2[4],0.064,0.074,-0.073,0.205,0.0,0.0,201599.0,143855.0,1.0
