,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.04,0.036,-0.027,0.109,0.0,0.0,212108.0,163495.0,1.0
beta[BIOIDEAL],0.212,0.084,0.055,0.371,0.0,0.0,257819.0,149702.0,1.0
beta[BWRS],0.329,0.087,0.162,0.49,0.0,0.0,250797.0,151857.0,1.0
beta[MXBONNEL],0.073,0.089,-0.094,0.24,0.0,0.0,263839.0,146724.0,1.0
beta[HYSPR],0.122,0.044,0.038,0.205,0.0,0.0,220386.0,156281.0,1.0
beta[BWR-LS],0.213,0.088,0.049,0.379,0.0,0.0,270001.0,145566.0,1.0
beta[NRTL],0.104,0.084,-0.054,0.262,0.0,0.0,267843.0,151416.0,1.0
beta1[0],0.048,0.08,-0.101,0.198,0.0,0.0,246765.0,152453.0,1.0
beta1[1],-0.021,0.083,-0.177,0.135,0.0,0.0,253095.0,150441.0,1.0
beta1[2],0.015,0.086,-0.144,0.179,0.0,0.0,259126.0,147768.0,1.0
beta1[3],0.023,0.037,-0.046,0.093,0.0,0.0,183765.0,164477.0,1.0
beta1[4],-0.085,0.084,-0.242,0.073,0.0,0.0,228923.0,152689.0,1.0
beta1[5],-0.017,0.076,-0.16,0.124,0.0,0.0,238341.0,150980.0,1.0
beta2[0],0.002,0.057,-0.105,0.109,0.0,0.0,203173.0,150136.0,1.0
beta2[1],-0.017,0.062,-0.136,0.1,0.0,0.0,191313.0,149333.0,1.0
beta2[2],-0.061,0.083,-0.216,0.096,0.0,0.0,204551.0,146397.0,1.0
beta2[3],-0.004,0.011,-0.026,0.017,0.0,0.0,172384.0,154903.0,1.0
beta2[4],0.016,0.05,-0.079,0.11,0.0,0.0,190086.0,146662.0,1.0
beta2[5],0.054,0.052,-0.043,0.154,0.0,0.0,189293.0,151804.0,1.0
