,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.05,0.052,-0.148,0.048,0.0,0.0,225797.0,149315.0,1.0
beta[BIOIDEAL],0.145,0.085,-0.015,0.306,0.0,0.0,212232.0,152129.0,1.0
beta[BWR-LS],0.153,0.085,-0.006,0.315,0.0,0.0,203266.0,148639.0,1.0
beta[MXBONNEL],0.15,0.085,-0.008,0.312,0.0,0.0,212457.0,153759.0,1.0
beta[HYSPR],0.215,0.084,0.055,0.371,0.0,0.0,209593.0,149565.0,1.0
beta[SR-POLAR],0.204,0.083,0.046,0.358,0.0,0.0,211815.0,151903.0,1.0
beta[PR-BM],0.172,0.084,0.016,0.331,0.0,0.0,203608.0,151946.0,1.0
beta1[0],0.011,0.083,-0.145,0.167,0.0,0.0,198920.0,148234.0,1.0
beta1[1],0.004,0.083,-0.154,0.157,0.0,0.0,198619.0,145849.0,1.0
beta1[2],0.009,0.084,-0.146,0.169,0.0,0.0,195453.0,147346.0,1.0
beta1[3],0.026,0.053,-0.072,0.127,0.0,0.0,181629.0,153826.0,1.0
beta1[4],-0.013,0.078,-0.162,0.133,0.0,0.0,178178.0,152920.0,1.0
beta1[5],-0.017,0.076,-0.159,0.127,0.0,0.0,156324.0,152232.0,1.0
beta2[0],-0.002,0.08,-0.154,0.148,0.0,0.0,185673.0,139702.0,1.0
beta2[1],0.002,0.082,-0.152,0.156,0.0,0.0,192764.0,141311.0,1.0
beta2[2],-0.004,0.082,-0.157,0.151,0.0,0.0,193561.0,144689.0,1.0
beta2[3],0.003,0.034,-0.062,0.066,0.0,0.0,159763.0,143252.0,1.0
beta2[4],-0.028,0.02,-0.066,0.009,0.0,0.0,149125.0,149384.0,1.0
beta2[5],0.059,0.036,-0.01,0.125,0.0,0.0,149118.0,145433.0,1.0
