,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.056,0.058,-0.167,0.053,0.0,0.0,320581.0,144261.0,1.0
beta[BIOIDEAL],0.08,0.085,-0.079,0.241,0.0,0.0,272167.0,150588.0,1.0
beta[BWR-LS],0.091,0.086,-0.069,0.254,0.0,0.0,275460.0,149603.0,1.0
beta[MXBONNEL],0.085,0.085,-0.077,0.244,0.0,0.0,275661.0,148275.0,1.0
beta[HYSPR],0.135,0.086,-0.024,0.299,0.0,0.0,272864.0,151150.0,1.0
beta[SR-POLAR],0.169,0.084,0.012,0.328,0.0,0.0,264147.0,150804.0,1.0
beta[PR-BM],0.174,0.084,0.016,0.333,0.0,0.0,278770.0,148989.0,1.0
beta1[0],-0.016,0.084,-0.172,0.142,0.0,0.0,250666.0,144708.0,1.0
beta1[1],-0.019,0.083,-0.174,0.139,0.0,0.0,254587.0,147150.0,1.0
beta1[2],-0.015,0.083,-0.173,0.14,0.0,0.0,260102.0,148678.0,1.0
beta1[3],-0.005,0.059,-0.117,0.105,0.0,0.0,228510.0,154998.0,1.0
beta1[4],0.022,0.077,-0.122,0.167,0.0,0.0,215293.0,154682.0,1.0
beta1[5],0.05,0.078,-0.096,0.198,0.0,0.0,238806.0,153217.0,1.0
beta2[0],0.001,0.079,-0.145,0.152,0.0,0.0,253336.0,144507.0,1.0
beta2[1],0.014,0.082,-0.139,0.169,0.0,0.0,264519.0,142326.0,1.0
beta2[2],0.008,0.082,-0.149,0.159,0.0,0.0,263329.0,142578.0,1.0
beta2[3],0.052,0.034,-0.01,0.117,0.0,0.0,215613.0,153282.0,1.0
beta2[4],-0.024,0.039,-0.098,0.049,0.0,0.0,169487.0,148349.0,1.0
beta2[5],0.018,0.038,-0.053,0.089,0.0,0.0,168076.0,148111.0,1.0
