,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.137,0.109,-0.068,0.343,0.0,0.0,183823.0,151019.0,1.0
beta[API],0.034,0.09,-0.137,0.201,0.0,0.0,211064.0,155167.0,1.0
beta[PM],0.113,0.091,-0.058,0.283,0.0,0.0,212382.0,155073.0,1.0
beta[R1],0.02,0.091,-0.156,0.189,0.0,0.0,210304.0,150663.0,1.0
beta[R4],0.115,0.087,-0.048,0.279,0.0,0.0,196887.0,154693.0,1.0
beta[TAG],0.109,0.091,-0.063,0.277,0.0,0.0,207218.0,153997.0,1.0
beta1[0],-0.012,0.085,-0.176,0.145,0.0,0.0,186510.0,153462.0,1.0
beta1[1],-0.035,0.083,-0.191,0.122,0.0,0.0,179609.0,146812.0,1.0
beta1[2],-0.026,0.084,-0.186,0.13,0.0,0.0,189606.0,148264.0,1.0
beta1[3],-0.078,0.077,-0.222,0.07,0.0,0.0,167886.0,145197.0,1.0
beta1[4],-0.027,0.083,-0.181,0.131,0.0,0.0,175783.0,148031.0,1.0
beta2[0],-0.019,0.062,-0.138,0.097,0.0,0.0,130785.0,130888.0,1.0
beta2[1],0.035,0.074,-0.105,0.174,0.0,0.0,143772.0,135404.0,1.0
beta2[2],0.002,0.059,-0.11,0.114,0.0,0.0,138565.0,135055.0,1.0
beta2[3],-0.022,0.045,-0.105,0.063,0.0,0.0,158770.0,148268.0,1.0
beta2[4],0.047,0.074,-0.094,0.186,0.0,0.0,143237.0,135290.0,1.0
