,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.05,0.036,-0.017,0.118,0.0,0.0,219805.0,158962.0,1.0
beta[BIOIDEAL],0.216,0.084,0.057,0.373,0.0,0.0,256589.0,151962.0,1.0
beta[BWRS],0.277,0.087,0.116,0.442,0.0,0.0,254341.0,146054.0,1.0
beta[MXBONNEL],0.067,0.089,-0.101,0.233,0.0,0.0,264909.0,150779.0,1.0
beta[HYSPR],0.147,0.052,0.048,0.243,0.0,0.0,188854.0,164965.0,1.0
beta[BWR-LS],0.17,0.087,0.007,0.334,0.0,0.0,263129.0,145302.0,1.0
beta[NRTL],0.117,0.083,-0.04,0.272,0.0,0.0,263087.0,148840.0,1.0
beta1[0],0.035,0.075,-0.104,0.177,0.0,0.0,263249.0,152729.0,1.0
beta1[1],-0.092,0.082,-0.248,0.06,0.0,0.0,257055.0,150286.0,1.0
beta1[2],0.05,0.087,-0.111,0.215,0.0,0.0,254844.0,147744.0,1.0
beta1[3],0.018,0.034,-0.046,0.081,0.0,0.0,228057.0,151874.0,1.0
beta1[4],-0.068,0.082,-0.22,0.086,0.0,0.0,237250.0,147309.0,1.0
beta1[5],0.021,0.075,-0.118,0.163,0.0,0.0,241391.0,153319.0,1.0
beta2[0],-0.002,0.052,-0.101,0.095,0.0,0.0,168608.0,150142.0,1.0
beta2[1],0.041,0.065,-0.08,0.163,0.0,0.0,180984.0,148317.0,1.0
beta2[2],-0.06,0.081,-0.215,0.09,0.0,0.0,199311.0,147403.0,1.0
beta2[3],-0.019,0.014,-0.046,0.008,0.0,0.0,159266.0,148222.0,1.0
beta2[4],-0.009,0.05,-0.104,0.086,0.0,0.0,170660.0,147880.0,1.0
beta2[5],0.059,0.057,-0.046,0.166,0.0,0.0,181449.0,148817.0,1.0
